image_id,text,img_fns
31MUroBHxlL,"[('Adult Helmet Sizing Cror', 0.8254987597465515), ('SZE', 0.9321443438529968), ('XS', 0.661859929561615), ('Circumference Inches', 0.9455167055130005), ('207/8-211/4', 0.9724365472793579), ('53-54cm', 0.893318772315979), ('Crcumference CM', 0.9791094064712524), ('65/8-63/4', 0.9334604740142822), ('Hatsice', 0.8638264536857605), ('SM', 0.9888310432434082), ('MD', 0.9827584028244019), ('215/8-22', 0.9566161036491394), ('35-50cm', 0.7972504496574402), ('67/8-7', 0.8872689604759216), ('22 7/16  22 3/4', 0.9972612857818604), ('37-58cm', 0.8368889689445496), ('LG', 0.9949092864990234), ('23 1/8 235/8', 0.9142691493034363), ('59-60cm', 0.9373666048049927), ('73/8-71/2', 0.9705942869186401), ('7.1/8 - 7.1/4', 0.9238235950469971), ('XL', 0.9785690903663635), ('ZXL', 0.6870904564857483), ('24-243/8', 0.9345861673355103), ('61-62cm', 0.9059015512466431), ('75/8-73/4', 0.92392897605896), ('24 3/4 -25 3/16', 0.9103606343269348), ('63-64cm', 0.9440640211105347), ('77/8-8', 0.8547990322113037), ('3XL', 0.9641342163085938), ('25 9/16 - 26', 0.9103555083274841), ('65-66cm', 0.9636644721031189), ('81/8-81/4', 0.9592173099517822), ('Youth Helimet Sicing Chart', 0.9262975454330444), ('SZE', 0.7732140421867371), ('Crcumference inches', 0.8774213194847107), ('CrcumferenceCM', 0.9500792622566223), ('Y-SM', 0.8982219696044922), ('187/8-191/4', 0.9567331075668335), ('50-31om', 0.6688615083694458), ('48-49cm', 0.8871845602989197), ('Y-5M', 0.8610470294952393), ('Y-MO', 0.8795495629310608), ('Y-LG', 0.8581086993217468), ('201/2-207/8', 0.9075437188148499), ('19 3/4-201/8', 0.9157843589782715), ('52-53cm', 0.8178048729896545), ('Y-LG', 0.9227592349052429), ('OW-A', 0.632876992225647)]",G:\My Drive\Colab Notebooks\git\images\31MUroBHxlL.jpg
31IIZrDt9nL,"[('Fit for 50 inch display', 0.9914079904556274), ('50 inch', 0.9789255261421204)]",G:\My Drive\Colab Notebooks\git\images\31IIZrDt9nL.jpg
31Fch26gY7L,"[('netAudio', 0.9227632880210876), ('1500W', 0.9055158495903015)]",G:\My Drive\Colab Notebooks\git\images\31Fch26gY7L.jpg
31PIGUDRcUL,"[('28CM', 0.9906522035598755), ('18CM', 0.9963855147361755), ('15.2CM', 0.9962992668151855), ('PRODUCT', 0.9943022131919861), ('Electric kettle', 0.9759529829025269), ('CAPACITY', 0.9690086245536804), ('800ml', 0.9954147338867188), ('POWER', 0.9984966516494751), ('1000w', 0.9720820188522339), ('VOLTAGE', 0.9966520667076111), ('110v-50hz', 0.9745692014694214), ('MATERIAL', 0.9970018267631531), ('304 stainless steel', 0.9773276448249817), ('POWER CORD', 0.9496270418167114), ('75cm', 0.9941018223762512)]",G:\My Drive\Colab Notebooks\git\images\31PIGUDRcUL.jpg
31BJdvLcS2L,"[('PALEO', 0.9956037402153015), ('200', 0.9987383484840393), ('RANCB', 0.8792554140090942), ('CALORIES', 0.9909809827804565), ('11g', 0.9702282547950745), ('PROTEI', 0.9899997115135193), ('BLUEBERRY BANANA SKISNY', 0.9337753057479858), ('soy free [ dairy free I wheat free.', 0.9050042033195496), ('COLLAGEN', 0.9596080780029297), ('CONTAINS', 0.9929158687591553), ('NETWT.1.5282(460', 0.7487425804138184)]",G:\My Drive\Colab Notebooks\git\images\31BJdvLcS2L.jpg
31C5D5F9D9S,"[('2.95 i nch', 0.9443334341049194), ('12 inch', 0.9453123807907104)]",G:\My Drive\Colab Notebooks\git\images\31C5D5F9D9S.jpg
31C4TM0tL5L,"[('Size', 0.998727023601532), ('1Count Pack of1', 0.9350506067276001), ('LotFancy', 0.9966588020324707), ('HOT/COLD PACK', 0.9548801183700562), ('PMeanabte Frce', 0.7009100317955017), ('revCeld Mice', 0.8023555874824524), ('wwave/Hot', 0.7768456339836121), ('Material', 0.9959506988525391), ('Latex-free', 0.9635971784591675), ('Color', 0.9976621866226196), ('Blue', 0.9963791370391846)]",G:\My Drive\Colab Notebooks\git\images\31C4TM0tL5L.jpg
31B2ZSdi-bS,"[('40cm/15.72in', 0.9981317520141602), ('15cm/5.89in', 0.9985174536705017)]",G:\My Drive\Colab Notebooks\git\images\31B2ZSdi-bS.jpg
31BN3P0+FZL,"[('25cm', 0.9985734820365906), ('9\'84""', 0.9439692497253418), ('ASEA', 0.6039619445800781)]",G:\My Drive\Colab Notebooks\git\images\31BN3P0+FZL.jpg
31AnSDFDuuL,"[('180', 0.9943192601203918), ('M', 0.9892627596855164), ('BLACK+DECKER', 0.9903135895729065)]",G:\My Drive\Colab Notebooks\git\images\31AnSDFDuuL.jpg
31Lahs4a9SL,"[('FOCO', 0.9658567905426025), ('LYCHEE DRINK', 0.9534112811088562), ('BEBIDA DE LITCHI', 0.9382560849189758)]",G:\My Drive\Colab Notebooks\git\images\31Lahs4a9SL.jpg
31KVgtejelL,"[('POWERFUL CONNECTION', 0.9701198935508728), ('Z-EDGE', 0.9710478782653809), ('HDMI1.4', 0.991063117980957), ('VGA', 0.9956340193748474), ('Audio', 0.9985661506652832), ('DC12V', 0.9882901906967163)]",G:\My Drive\Colab Notebooks\git\images\31KVgtejelL.jpg
31LrSRISE0L,"[('15.75""', 0.9218761920928955), ('36.93""', 0.9127103686332703)]",G:\My Drive\Colab Notebooks\git\images\31LrSRISE0L.jpg
31N0+PxQKpL,"[('U', 0.5782345533370972), ('25.2 ', 0.8085283041000366)]",G:\My Drive\Colab Notebooks\git\images\31N0+PxQKpL.jpg
31KjEfi5nKL,"[('190cm', 0.9957977533340454), ('32', 0.997834324836731), ('60 cm', 0.9026179313659668)]",G:\My Drive\Colab Notebooks\git\images\31KjEfi5nKL.jpg
31LL+eDCmwL,"[('EOLVA', 0.6795161962509155), ('ROyAL', 0.8749738931655884), ('B', 0.8775998950004578)]",G:\My Drive\Colab Notebooks\git\images\31LL+eDCmwL.jpg
31LeiIQqy4L,"[('KITE3 10189]', 0.9333265423774719), ('180', 0.9989273548126221), ('160', 0.998225212097168), ('3.3kg', 0.9433905482292175), ('230', 0.9991796016693115), ('340', 0.9982179999351501), ('100', 0.9987937808036804), ('105', 0.9963566660881042), ('100', 0.9966187477111816), ('52', 0.9982129335403442), ('3000 mm', 0.9292654395103455)]",G:\My Drive\Colab Notebooks\git\images\31LeiIQqy4L.jpg
31HZLPLvS1L,"[('109.5cm', 0.9997987747192383), ('4.8cm', 0.9976113438606262)]",G:\My Drive\Colab Notebooks\git\images\31HZLPLvS1L.jpg
31OW8eknNpL,"[('600', 0.7982239723205566), ('INEESS', 0.80635005235672), ('Right Handed Model Shown', 0.9370672106742859)]",G:\My Drive\Colab Notebooks\git\images\31OW8eknNpL.jpg
31LF8o3DjTL,"[('Product parameters', 0.9784165620803833), ('28cm', 0.906970202922821), ('33cm', 0.9873771667480469), ('35cm', 0.9659674763679504), ('28x28x33cm0.91x0.91x1.08ft', 0.9780546426773071), ('Gross weight:3kg', 0.9666393995285034)]",G:\My Drive\Colab Notebooks\git\images\31LF8o3DjTL.jpg
31Cst7vLIAL,"[('74cm', 0.9935181736946106), ('80cm', 0.9918737411499023), ('30cm', 0.9909203052520752)]",G:\My Drive\Colab Notebooks\git\images\31Cst7vLIAL.jpg
31E2Za-l0aL,"[('9', 0.7135429382324219)]",G:\My Drive\Colab Notebooks\git\images\31E2Za-l0aL.jpg
31CuqYq6tSL,"[('35 cm (14"")', 0.9924562573432922), ('35 cm (14"" )', 0.9322889447212219), ('5', 0.6670507788658142), ('5', 0.7611622214317322), ('cm', 0.9967560768127441), (""(21.5'"", 0.968563973903656)]",G:\My Drive\Colab Notebooks\git\images\31CuqYq6tSL.jpg
31DmuoP26RL,"[('THE', 0.958391010761261), ('COCONUT', 0.9313444495201111), ('EDITION', 0.997134268283844), ('Buil', 0.8198811411857605), ('Coconut Berry', 0.9159974455833435), ('P', 0.629401683807373), ('ENERGYDRINK', 0.9940057992935181), ('Vitalizes body and mi', 0.8367845416069031), ('12FLOZ (355ml)', 0.7941709756851196)]",G:\My Drive\Colab Notebooks\git\images\31DmuoP26RL.jpg
31DJ8wTJNML,"[('-THE HUNGER', 0.9028283953666687), ('WOLF', 0.9808149337768555), ('ADULT', 0.9941447973251343), ('Small&Medium', 0.9765786528587341), ('Breeds', 0.9884686470031738), ('1+ year', 0.7777186036109924), ('3 kg', 0.9292171597480774)]",G:\My Drive\Colab Notebooks\git\images\31DJ8wTJNML.jpg
31D0mqjJbmL,"[('7.0 in/17.8 cm', 0.9497947692871094), ('1.5 in/4.0 cm', 0.9451054930686951)]",G:\My Drive\Colab Notebooks\git\images\31D0mqjJbmL.jpg
31EXLx184gL,"[('500g', 0.9053871035575867), ('6gos', 0.5196658372879028)]",G:\My Drive\Colab Notebooks\git\images\31EXLx184gL.jpg
31F+TvJigZL,"[('Parameter', 0.9949551820755005), ('Product Name: Holographic Sight', 0.9587010145187378), ('Type:Red Dot Scope', 0.9222869873046875), ('Material :Metal', 0.9798217415809631), ('Weight:250g', 0.9487812519073486), ('Rail Size20mm', 0.9177262783050537), ('Size70X43X53MM', 0.9605932831764221)]",G:\My Drive\Colab Notebooks\git\images\31F+TvJigZL.jpg
31EvISViE7L,"[('505 Vivol', 0.7261500358581543)]",G:\My Drive\Colab Notebooks\git\images\31EvISViE7L.jpg
31EA580F0XS,"[('100cm', 0.9975326657295227), ('20cm', 0.9438658952713013), ('120cm', 0.9982905387878418)]",G:\My Drive\Colab Notebooks\git\images\31EA580F0XS.jpg
31DvN4cwQUL,"[('11.5cm/4.5inch', 0.9969643354415894)]",G:\My Drive\Colab Notebooks\git\images\31DvN4cwQUL.jpg
31D+TJtQ3tL,"[('BIRD-X', 0.8567006587982178), ('BIRD', 0.9962698221206665), ('PROOF', 0.9972964525222778), ('TRANSPARENT', 0.9956567287445068), ('REPELLENT', 0.9965295791625977), ('DSTARANES', 0.7310615181922913), ('TMEINSREPENT', 0.6671040654182434), ('ENDENTS', 0.6667442321777344), ('WARNING', 0.9957955479621887), ('KT CONTENTS:', 0.7757217884063721)]",G:\My Drive\Colab Notebooks\git\images\31D+TJtQ3tL.jpg
31DGWuERDrL,"[('30 cm', 0.9884964823722839), ('57 cm', 0.9992662668228149), ('57 cm', 0.9992928504943848)]",G:\My Drive\Colab Notebooks\git\images\31DGWuERDrL.jpg
31CUkGWrSHL,"[('NATURALVEGAN-GMO', 0.9116091132164001), ('RGEN FREESUSTAINABLY SOR', 0.903853714466095), ('NO ADDED PRESERVATIVES', 0.9543810486793518), ('NEW EEGINNING', 0.9163258075714111), ('SUBSTRATE', 0.9540307521820068)]",G:\My Drive\Colab Notebooks\git\images\31CUkGWrSHL.jpg
31E4X+OlLaL,"[(""DAD'S"", 0.9251416921615601), ('WOCEEAM', 0.7673401236534119), ('CoffeineFim', 0.7760032415390015), (""DAD'S"", 0.9359456300735474), ('Old Fashioned', 0.9340606331825256), ('RED CREAM', 0.9448776245117188), ('SODA', 0.9987417459487915), ('12FO335m)', 0.5021454095840454)]",G:\My Drive\Colab Notebooks\git\images\31E4X+OlLaL.jpg
31HN4Cts-DL,"[('5.9in/15.0cm', 0.9585378170013428), ('3.9 in/10.0 cm', 0.9411939382553101)]",G:\My Drive\Colab Notebooks\git\images\31HN4Cts-DL.jpg
31GNqESSmKL,[],G:\My Drive\Colab Notebooks\git\images\31GNqESSmKL.jpg
31Kx4J470RL,"[('4cm/1.5in', 0.9829790592193604), ('9.5cm/3.7in', 0.9865140318870544), ('60cm/23.6in', 0.9985832571983337), ('Max load-bearing 25kg', 0.9766323566436768)]",G:\My Drive\Colab Notebooks\git\images\31Kx4J470RL.jpg
31I6dyYENhS,"[('75Kg/10g', 0.9973318576812744)]",G:\My Drive\Colab Notebooks\git\images\31I6dyYENhS.jpg
31KSeXa5EtL,"[('60.96cm', 0.9964565634727478), ('40.64cm', 0.9931836724281311), ('33.02cm', 0.9978002309799194)]",G:\My Drive\Colab Notebooks\git\images\31KSeXa5EtL.jpg
31JKDnYHPvL,"[('180 cm (70.9)', 0.9861360788345337)]",G:\My Drive\Colab Notebooks\git\images\31JKDnYHPvL.jpg
31KPsJeS-+L,"[('30.60', 0.9130772352218628)]",G:\My Drive\Colab Notebooks\git\images\31KPsJeS-+L.jpg
31HhQIgtn2L,"[('00', 0.7806388139724731)]",G:\My Drive\Colab Notebooks\git\images\31HhQIgtn2L.jpg
31I6-eWiinL,"[('Nutrition', 0.9971541166305542), (""Amount'serving"", 0.9539474248886108), ('%DV', 0.7417595982551575), ('Amount/serving', 0.9865385293960571), (""Amoant'serving"", 0.9195438623428345), ('%OV', 0.602872908115387), ('Amountserving DV', 0.8415343761444092), ('Total Fatlg', 0.7990646362304688), ('15%', 0.9965837001800537), ('MonounsalFat3.5g', 0.9322730302810669), ('Dietary Fiber 2g', 0.8952297568321228), ('7%Protein 20g 40%', 0.9399564266204834), ('Facts', 0.9965106844902039), ('SaFa69', 0.6811085343360901), ('30%', 0.9940831065177917), ('Cholesterol Omg', 0.9422337412834167), ('0%', 0.9746206998825073), ('Insoluble Fiber 1g', 0.8738236427307129), ('Serv.size 1 bar (68g', 0.9278703927993774), ('Trans FarOg', 0.8513040542602539), ('Sodium330mg', 0.932155191898346), ('14%', 0.9895078539848328), ('TotalSugars 16g', 0.9051975607872009), ('Calories', 0.9922903776168823), ('Polyunsar.Fat1.5g', 0.7945131659507751), ('Total Carb.29g', 0.9114202857017517), ('11%', 0.9942163825035095), ('Inc16g Add Sugars 31%', 0.809445321559906), ('per serving', 0.9849174618721008), ('300', 0.9992837905883789), ('Vtamin D.Omcg 0%', 0.8539100885391235), ('Calcium40mg4%', 0.8822323083877563), ('Iron 3mg15%Potassium 198mg 4%Vamin E 6%', 0.8435655236244202), ('Phosphorus 15%', 0.9304209351539612), ('Magnesium6%', 0.9022713303565979)]",G:\My Drive\Colab Notebooks\git\images\31I6-eWiinL.jpg
31GD-sqjvfL,"[('3.14 in/8 cm', 0.9191062450408936), ('3.74 in / 9.5 cm', 0.9758435487747192)]",G:\My Drive\Colab Notebooks\git\images\31GD-sqjvfL.jpg
31H1c8qO3yS,"[('DESKTOP', 0.9973040223121643), ('Desk MeasurementL.', 0.9261947274208069), ('SIZE', 0.9989988803863525), ('28""', 0.84305739402771), ('0.6', 0.9845947623252869), ('55', 0.9978526830673218), ('28.6-48.2', 0.9281068444252014), ('Min - Max', 0.9109978079795837), ('lbs', 0.8196995258331299), ('Weight Capacity', 0.952165961265564), ('132bs', 0.9460679888725281)]",G:\My Drive\Colab Notebooks\git\images\31H1c8qO3yS.jpg
31GoXwn1aEL,"[('52VerandaEnergy Ratings at High Speed', 0.9709109663963318), ('Airflow', 0.9903141260147095), ('Electricity Use', 0.9727336168289185), ('Airflow Efficiency', 0.9685218334197998), ('Cubic Ft Per Min.', 0.9599006772041321), ('WattsExcl.Lights)', 0.9377303123474121), ('Cubic Ft Per Min.PerWatt', 0.9644128680229187), ('5967', 0.9987817406654358), ('73', 0.9884659647941589), (': 82', 0.9369094371795654)]",G:\My Drive\Colab Notebooks\git\images\31GoXwn1aEL.jpg
31EM4A8ItRL,"[('13,5 cm', 0.9647120237350464), ('23,5 cm Boden', 0.9217770099639893), ('Volumen: 6,0 1', 0.9575055837631226), ('Gewicht: 2,15 kg', 0.983318567276001)]",G:\My Drive\Colab Notebooks\git\images\31EM4A8ItRL.jpg
31Ewj0PXNdL,"[('27 in', 0.89924156665802), ('69cm', 0.992603063583374)]",G:\My Drive\Colab Notebooks\git\images\31Ewj0PXNdL.jpg
31EIyTViitL,"[('Back View 14""FHD Non-Touch Screen', 0.9382209777832031), ('30Pin eDP Connector', 0.9682113528251648)]",G:\My Drive\Colab Notebooks\git\images\31EIyTViitL.jpg
31HJ1AfCIgL,"[('30CM', 0.9319488406181335)]",G:\My Drive\Colab Notebooks\git\images\31HJ1AfCIgL.jpg
31FTfRTgQHL,"[('5000', 0.9996057748794556), ('mAh', 0.9930651187896729), ('""OOL', 0.8237648606300354)]",G:\My Drive\Colab Notebooks\git\images\31FTfRTgQHL.jpg
31KCW7EbmnL,"[('PURE', 0.9926193952560425), ('LIQUIDIZER', 0.9899383783340454), ('OM', 0.8994388580322266)]",G:\My Drive\Colab Notebooks\git\images\31KCW7EbmnL.jpg
31J8iFws4sS,"[('8cm', 0.9976099133491516), ('150g', 0.9991220235824585), ('4cm', 0.9949538707733154)]",G:\My Drive\Colab Notebooks\git\images\31J8iFws4sS.jpg
31KPJ6pnp+L,"[('3.5 in/9.0 cm', 0.883910596370697), ('3.9 in/10 cm', 0.8913796544075012)]",G:\My Drive\Colab Notebooks\git\images\31KPJ6pnp+L.jpg
31HkazRRetL,"[('9cm/3.5', 0.9958292841911316), (""44cm/17.3'"", 0.9960295557975769)]",G:\My Drive\Colab Notebooks\git\images\31HkazRRetL.jpg
31HU1reGu2L,"[('50PCS', 0.9915018081665039), ('12mm', 0.9992870092391968)]",G:\My Drive\Colab Notebooks\git\images\31HU1reGu2L.jpg
31HatwLHPOL,"[('Output Cable', 0.9690864086151123), ('Type-C In/Output', 0.9567283391952515), ('Power Button', 0.9664033055305481), ('5V-2.0A', 0.9827128648757935), ('5V-2.0A', 0.983971118927002), ('USB Output', 0.9517513513565063), ('5V-2.1A', 0.9849499464035034)]",G:\My Drive\Colab Notebooks\git\images\31HatwLHPOL.jpg
31JqJNDVc-L,"[('Rhus Tox', 0.971110463142395), ('Ointment', 0.6592963337898254), ('HOMOEOPATHIC MEDICINE', 0.953419029712677), ('Rhus Tox', 0.9492605924606323), ('Ointent', 0.8978604078292847), ('For Joint& Muscula Pam', 0.7977853417396545), ('25m', 0.9106159210205078)]",G:\My Drive\Colab Notebooks\git\images\31JqJNDVc-L.jpg
31CRyJdjbPL,"[('EPURE', 0.8223617672920227), ('Longjack100:1 Extract', 0.9686490893363953), ('Pure Tongkat Ali Powder', 0.9671139121055603), ('Herbal Supplement', 0.9782618284225464), ('Net Wt.8 oz 0.5 lb) 226.7 g', 0.885446310043335)]",G:\My Drive\Colab Notebooks\git\images\31CRyJdjbPL.jpg
319RcGrykvS,"[('1599.41(0ut Line)', 0.9145312309265137), ('1555.6(0pening Acra Lp)', 0.8110949397087097), ('1553.4 (Opeting Aera Don)', 0.82469642162323), ('096', 0.7767524123191833), ('1549.4(Aeuive Area)', 0.9011690020561218), ('921.610ut Line', 0.8631037473678589), ('871.6ctve Are', 0.7942386865615845), ('For 70 inch display', 0.971703052520752), ('4pin RS232 connecto', 0.954422116279602), ('Spin USS connector', 0.9364796876907349), ('Unit: mm', 0.9672589302062988)]",G:\My Drive\Colab Notebooks\git\images\319RcGrykvS.jpg
31ALW6ILdNS,"[('21cm/8.3in', 0.9846423268318176), ('5.0cm/1.96in', 0.9986034035682678)]",G:\My Drive\Colab Notebooks\git\images\31ALW6ILdNS.jpg
31B43FuEJSL,"[('<45db', 0.9823029637336731), ('120w', 0.9039126634597778)]",G:\My Drive\Colab Notebooks\git\images\31B43FuEJSL.jpg
318Vs-v1K+L,"[('DASKCHOCOLATE.COVERED', 0.8197132349014282), ('c', 0.5266574025154114), ('Dark Chocolate Covere', 0.8916388750076294), ('MARSHMALLOWS', 0.9961592555046082), ('Minty Mallows', 0.9107961058616638), ('Grrrrees', 0.5400561094284058), ('S k Co', 0.6263148784637451), ('ET7.062', 0.7177609801292419)]",G:\My Drive\Colab Notebooks\git\images\318Vs-v1K+L.jpg
31BE5BamUYS,[],G:\My Drive\Colab Notebooks\git\images\31BE5BamUYS.jpg
31AwaGMCddL,"[('7CM', 0.9991353154182434)]",G:\My Drive\Colab Notebooks\git\images\31AwaGMCddL.jpg
